2023 Spring ASA Elections

SubmissionId,"Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 1","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 2","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 3","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 4","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 5","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 6","Please rank the candidates for second-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 7 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 7","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 1","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 2","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 3","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 4","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 5","Please rank the candidates for third-year Senator in order of preference. Four (4) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 6 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank three (3) of the candidates,use ranks 1,2,and 3. - 6","Please rank the candidates for international Senator in order of preference. Two (2) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 3 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank one (1) of the candidates,use rank 1. - 1","Please rank the candidates for international Senator in order of preference. Two (2) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 3 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank one (1) of the candidates,use rank 1. - 2","Please rank the candidates for international Senator in order of preference. Two (2) candidates will be selected as winners using ranked-choice voting. Pictures of the candidates can be found at this link or on the ASA Instagram page.Rank 1 is your favorite,and 3 is your least favorite.You may rank as many or as few candidates as you wish. Please do not skip numbers. For example,if you only rank one (1) of the candidates,use rank 1. - 3"
"6672117","Ian Kelly","Elijah Schipper","Abbey Allen","","","","","Noah Everson","","","","","","Mariya Mamman","Beatrice Anyim","Amy Kim"
"6672136","Susana Gebrekidan","","","","","","","Hananiya Arega","","","","","","Beatrice Anyim","",""
"6673878","Carson Steichen","Ian Kelly","Susana Gebrekidan","Gracen Juffer","Abbey Allen","Emma Powers","Elijah Schipper","Annie Johnston","Gabi Jancikova","Noah Everson","Raleigh Lunderman","Nasteho Abdi","Hananiya Arega","Amy Kim","Mariya Mamman","Beatrice Anyim"
"6673886","Carson Steichen","Gracen Juffer","Susana Gebrekidan","Emma Powers","Abbey Allen","Ian Kelly","Elijah Schipper","Annie Johnston","Nasteho Abdi","Raleigh Lunderman","Hananiya Arega","Noah Everson","Gabi Jancikova","Beatrice Anyim","Amy Kim","Mariya Mamman"
"6673899","Abbey Allen","Susana Gebrekidan","","","","","","","","","","","","","",""
"6673911","Susana Gebrekidan","Emma Powers","Ian Kelly","","","","","Nasteho Abdi","Gabi Jancikova","Hananiya Arega","","","","Mariya Mamman","Beatrice Anyim","Amy Kim"
"6673999","","","","","","","","Gabi Jancikova","","","","","","","",""
"6674027","Ian Kelly","Carson Steichen","Elijah Schipper","","","","","Noah Everson","Gabi Jancikova","Nasteho Abdi","","","","Amy Kim","",""
"6674077","Gracen Juffer","Carson Steichen","","","","","","Noah Everson","Gabi Jancikova","","","","","","",""
"6674486","Gracen Juffer","Carson Steichen","Susana Gebrekidan","Emma Powers","Ian Kelly","Elijah Schipper","Abbey Allen","Hananiya Arega","Raleigh Lunderman","Annie Johnston","Nasteho Abdi","Gabi Jancikova","Noah Everson","Amy Kim","Mariya Mamman","Beatrice Anyim"
"6674659","Abbey Allen","Susana Gebrekidan","Gracen Juffer","Carson Steichen","Ian Kelly","Emma Powers","Elijah Schipper","Annie Johnston","Gabi Jancikova","Noah Everson","","","","Mariya Mamman","Beatrice Anyim","Amy Kim"
"6674665","Elijah Schipper","Emma Powers","Carson Steichen","Gracen Juffer","Susana Gebrekidan","Ian Kelly","Abbey Allen","Gabi Jancikova","Annie Johnston","Nasteho Abdi","Raleigh Lunderman","Hananiya Arega","Noah Everson","","",""
"6674693","Emma Powers","Abbey Allen","Susana Gebrekidan","Ian Kelly","Gracen Juffer","Carson Steichen","Elijah Schipper","Annie Johnston","Raleigh Lunderman","Hananiya Arega","Noah Everson","Nasteho Abdi","Gabi Jancikova","Amy Kim","Mariya Mamman","Beatrice Anyim"
"6674715","Susana Gebrekidan","Abbey Allen","Emma Powers","Carson Steichen","Elijah Schipper","Gracen Juffer","Ian Kelly","Gabi Jancikova","Raleigh Lunderman","Nasteho Abdi","Annie Johnston","Hananiya Arega","Noah Everson","Amy Kim","Mariya Mamman","Beatrice Anyim"
"6674851","Elijah Schipper","Susana Gebrekidan","","","","","","Gabi Jancikova","Annie Johnston","","","","","Amy Kim","",""
"6675966","Ian Kelly","Elijah Schipper","Emma Powers","Carson Steichen","Gracen Juffer","Abbey Allen","Susana Gebrekidan","Gabi Jancikova","Annie Johnston","Hananiya Arega","Noah Everson","Nasteho Abdi","Raleigh Lunderman","Mariya Mamman","Amy Kim","Beatrice Anyim"
"6675979","Abbey Allen","Emma Powers","Carson Steichen","Gracen Juffer","Susana Gebrekidan","Ian Kelly","Elijah Schipper","Noah Everson","Annie Johnston","Gabi Jancikova","Raleigh Lunderman","Nasteho Abdi","Hananiya Arega","Amy Kim","Mariya Mamman","Beatrice Anyim"
"6676744","Carson Steichen","Elijah Schipper","","","","","","Nasteho Abdi","Raleigh Lunderman","","","","","Mariya Mamman","Amy Kim","Beatrice Anyim"
"6676763","Elijah Schipper","Carson Steichen","Gracen Juffer","","","","","Nasteho Abdi","Raleigh Lunderman","Gabi Jancikova","Hananiya Arega","Noah Everson","Annie Johnston","","",""
"6677353","Gracen Juffer","Abbey Allen","Emma Powers","Susana Gebrekidan","","","","Annie Johnston","Noah Everson","Gabi Jancikova","","","","Amy Kim","",""
"6677358","Gracen Juffer","Abbey Allen","Emma Powers","","","","","Annie Johnston","Gabi Jancikova","Noah Everson","Raleigh Lunderman","Hananiya Arega","Nasteho Abdi","","",""
"6677406","Emma Powers","Ian Kelly","Elijah Schipper","","","","","Gabi Jancikova","Nasteho Abdi","Raleigh Lunderman","Noah Everson","Hananiya Arega","Annie Johnston","Mariya Mamman","Amy Kim","Beatrice Anyim"
"6677452","Elijah Schipper","Ian Kelly","Emma Powers","","","","","Annie Johnston","Raleigh Lunderman","Nasteho Abdi","","","","Mariya Mamman","Amy Kim","Beatrice Anyim"
"6677468","Emma Powers","Susana Gebrekidan","Abbey Allen","Carson Steichen","Elijah Schipper","Ian Kelly","Gracen Juffer","Annie Johnston","Hananiya Arega","Gabi Jancikova","Raleigh Lunderman","Nasteho Abdi","Noah Everson","Amy Kim","Mariya Mamman","Beatrice Anyim"
