2024 ASA Spring Elections

SubmissionId,"Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 1","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 2","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 3","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 4","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 5","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 6","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 1","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 2","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 3","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 4","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 5","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 1","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 2","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 3","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 4","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 5","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 7","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 1","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 2","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 3","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 4","Please select and option for President/Vice President","Please select your choice for Secretary. ","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 1","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 2","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 3","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 4"
"7180374","Juliann Seeley","Amy Kim","","","","","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180385","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180390","Nyamal Changson","Amy Kim","Em Powers","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180403","Nyamal Changson","Amy Kim","Em Powers","May Utonwa Oji","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180422","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Amy Kim","","","","","","","Gracen Juffer","Asmeret Abebe","Pierce Cunningham","Surafel Zeleke","Susana Gebrekidan","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","","",""
"7180424","Nyamal Changson","Amy Kim","","","","","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180441","Juliann Seeley","Elijah Schipper","Em Powers","Nyamal Changson","May Utonwa Oji","Amy Kim","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180443","Juliann Seeley","Elijah Schipper","Em Powers","Nyamal Changson","May Utonwa Oji","Amy Kim","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180447","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180448","Amy Kim","Em Powers","Juliann Seeley","Nyamal Changson","","","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Abigail Grace Smith","Hawi Meshessha","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
